@relation 'data-weka.filters.unsupervised.attribute.Remove-R3,14-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute age numeric
@attribute workclass {State-gov,Self-emp-not-inc,Private,Federal-gov,Local-gov,Self-emp-inc,Without-pay,Never-worked}
@attribute education {Bachelors,HS-grad,11th,Masters,9th,Some-college,Assoc-acdm,Assoc-voc,7th-8th,Doctorate,Prof-school,5th-6th,10th,1st-4th,Preschool,12th}
@attribute education-num numeric
@attribute marital-status {Never-married,Married-civ-spouse,Divorced,Married-spouse-absent,Separated,Married-AF-spouse,Widowed}
@attribute occupation {Adm-clerical,Exec-managerial,Handlers-cleaners,Prof-specialty,Other-service,Sales,Craft-repair,Transport-moving,Farming-fishing,Machine-op-inspct,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute relationship {Not-in-family,Husband,Wife,Own-child,Unmarried,Other-relative}
@attribute race {White,Black,Asian-Pac-Islander,Amer-Indian-Eskimo,Other}
@attribute sex {Male,Female}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {<=50K,>50K}

@data
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,<=50K
36,Private,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,0,0,40,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Black,Female,0,0,40,<=50K
74,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1797,0,40,<=50K
58,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,50,<=50K
47,State-gov,Some-college,10,Separated,Adm-clerical,Husband,White,Male,0,0,40,<=50K
44,Private,Some-college,10,Widowed,Sales,Husband,White,Female,0,0,40,<=50K
27,Private,Bachelors,13,Never-married,Prof-specialty,Husband,White,Female,0,0,45,<=50K
22,Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,1055,0,20,<=50K
47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,>50K
76,Private,10th,6,Widowed,Adm-clerical,Husband,White,Male,3273,0,2,<=50K
42,Private,Masters,14,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K
37,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,<=50K
62,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
45,Local-gov,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,39,<=50K
48,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,>50K
23,Private,1st-4th,2,Married-spouse-absent,Farming-fishing,Husband,White,Male,0,0,85,<=50K
64,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Female,0,0,30,<=50K
17,Private,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,12,<=50K
90,Private,5th-6th,3,Widowed,Adm-clerical,Husband,White,Male,0,0,20,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,22,<=50K
30,Private,Bachelors,13,Never-married,Protective-serv,Own-child,White,Male,0,1590,25,<=50K
61,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
36,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
43,Private,HS-grad,9,Never-married,Other-service,Husband,Black,Male,0,0,40,<=50K
52,Self-emp-not-inc,HS-grad,9,Divorced,Transport-moving,Husband,White,Male,0,0,72,<=50K
17,Never-worked,10th,6,Never-married,Adm-clerical,Own-child,White,Female,0,0,32,<=50K
40,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,>50K
