@relation test_miss-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute age numeric
@attribute workclass {Local-gov,Private,State-gov,Self-emp-inc,Federal-gov,Self-emp-not-inc,Never-worked,Without-pay}
@attribute fnlwgt numeric
@attribute education {7th-8th,HS-grad,Bachelors,Masters,Some-college,Prof-school,10th,1st-4th,11th,5th-6th,Assoc-voc,Doctorate,12th,Assoc-acdm,Preschool,9th}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Separated,Widowed,Never-married,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Farming-fishing,Craft-repair,Adm-clerical,Prof-specialty,Sales,Other-service,Protective-serv,Transport-moving,Machine-op-inspct,Tech-support,Exec-managerial,Handlers-cleaners,Priv-house-serv,Armed-Forces}
@attribute relationship {Husband,Wife,Own-child,Not-in-family,Other-relative}
@attribute race {White,Black,Asian-Pac-Islander,Other,Amer-Indian-Eskimo}
@attribute sex {Male,Female}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Iran,Puerto-Rico,El-Salvador,Haiti,Mexico,Scotland,Cuba,Philippines,Trinadad&Tobago,Canada,Peru,Laos,Dominican-Republic,England,Poland,Japan,Vietnam,Ecuador,Columbia,Germany,Italy,South,France,India,Honduras,China,Greece,Jamaica,Taiwan,Guatemala,Portugal,Nicaragua,Outlying-US(Guam-USVI-etc),Cambodia,Hungary,Ireland,Hong}
@attribute class {<=50K,>50K}

@data
37,Local-gov,393404,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
34,Private,44364,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
40,Private,272297,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
25,Private,254461,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
57,Private,132826,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
30,Private,148832,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,United-States,<=50K
30,Private,241980,HS-grad,9,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,40,South,<=50K
69,Private,261996,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
47,Private,146752,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,197694,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
47,Local-gov,274511,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,174735,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,50,India,<=50K
21,Private,128866,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Own-child,White,Female,0,0,40,Dominican-Republic,<=50K
47,Private,138441,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
19,State-gov,259152,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
35,Private,98345,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
23,Private,102360,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
58,Federal-gov,224383,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
28,Self-emp-not-inc,177185,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,<=50K
21,Private,67430,7th-8th,4,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,25,Mexico,<=50K
20,Private,215061,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
38,Local-gov,345031,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
59,Private,208660,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
51,Private,278806,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,<=50K
23,Private,209619,Some-college,10,Never-married,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
28,Private,300535,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,United-States,<=50K
21,Private,121048,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
55,Private,198149,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
46,Self-emp-not-inc,171694,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
45,Private,279822,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,>50K
36,Local-gov,166934,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
44,Self-emp-not-inc,273198,HS-grad,9,Divorced,Sales,Husband,White,Male,0,0,64,United-States,<=50K
32,Local-gov,28654,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,40,France,>50K
43,Private,319827,HS-grad,9,Separated,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,106318,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
49,Federal-gov,198499,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
69,Private,385461,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,25,United-States,<=50K
34,Local-gov,149590,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
31,Self-emp-inc,163139,Masters,14,Never-married,Sales,Own-child,White,Female,27828,0,42,United-States,>50K
22,Private,216294,Assoc-voc,11,Never-married,Handlers-cleaners,Husband,White,Male,0,0,53,United-States,<=50K
18,Private,265622,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,Dominican-Republic,<=50K
47,Private,117561,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
37,Private,112271,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,<=50K
56,State-gov,86595,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,248800,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
52,Private,163730,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
34,Private,285611,Some-college,10,Never-married,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
77,Private,159214,1st-4th,2,Widowed,Other-service,Husband,White,Female,0,0,24,United-States,<=50K
42,Private,146818,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
22,Self-emp-inc,170914,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
72,Self-emp-not-inc,36512,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,<=50K
42,Private,113777,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Guatemala,<=50K
24,Private,422092,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,United-States,<=50K
48,Private,130724,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
27,Private,91712,Some-college,10,Never-married,Sales,Husband,White,Female,0,0,40,United-States,<=50K
52,Self-emp-not-inc,193114,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,64,United-States,<=50K
26,Private,173233,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
36,Private,397494,Assoc-acdm,12,Divorced,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,173330,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States,<=50K
66,Self-emp-not-inc,152976,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1411,40,United-States,<=50K
40,Private,185630,Bachelors,13,Divorced,Sales,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,206844,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
72,Private,166598,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,40,United-States,<=50K
43,Private,167993,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
65,Private,156469,5th-6th,3,Widowed,Other-service,Husband,Black,Female,0,0,16,United-States,<=50K
33,State-gov,303060,Masters,14,Never-married,Prof-specialty,Husband,White,Male,0,0,11,United-States,<=50K
25,Private,373617,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,<=50K
22,Private,116453,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,State-gov,125570,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
59,Private,87875,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,103173,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,50,United-States,<=50K
30,Private,169969,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,<=50K
46,Private,270218,11th,7,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Local-gov,173224,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,United-States,<=50K
39,Self-emp-not-inc,303391,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
51,Local-gov,192223,10th,6,Married-spouse-absent,Prof-specialty,Husband,White,Female,0,0,40,United-States,<=50K
56,State-gov,120865,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,0,0,35,United-States,<=50K
56,State-gov,273309,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,>50K
36,Private,152759,HS-grad,9,Never-married,Sales,Husband,White,Female,0,0,40,United-States,<=50K
64,Self-emp-not-inc,162391,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<=50K
40,Private,175584,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
24,Private,148577,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,45,United-States,<=50K
45,Private,101183,Assoc-voc,11,Never-married,Other-service,Husband,White,Female,0,0,40,Mexico,<=50K
20,Private,231004,Some-college,10,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,<=50K
33,Local-gov,30780,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,United-States,<=50K
22,Private,49973,Some-college,10,Never-married,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
50,Self-emp-inc,139704,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,<=50K
28,Private,129448,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Male,0,0,30,Laos,<=50K
24,Private,232590,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,13550,0,28,United-States,>50K
48,Private,159561,Some-college,10,Never-married,Craft-repair,Husband,Black,Female,0,0,40,United-States,<=50K
61,Private,135489,Masters,14,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
17,Private,37593,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,21,United-States,<=50K
34,Private,184524,11th,7,Separated,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
35,Private,160537,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
44,Private,303723,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,<=50K
50,Private,150433,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
45,Private,47205,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
38,State-gov,223388,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Germany,<=50K
51,State-gov,118872,Some-college,10,Divorced,Tech-support,Husband,White,Female,0,0,40,Cuba,<=50K
37,Private,299435,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K
27,Private,204512,Some-college,10,Never-married,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
35,Private,84425,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
51,Private,181525,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
33,Private,94073,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,255332,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
28,Private,330546,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
33,Local-gov,194306,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
40,Private,17615,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,185299,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
30,Private,95238,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
22,Private,179597,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
58,Private,185906,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,157231,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
36,Private,578738,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,48,United-States,>50K
47,Private,69099,Bachelors,13,Divorced,Exec-managerial,Husband,White,Female,0,0,48,United-States,<=50K
34,Private,101408,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,114476,Assoc-acdm,12,Never-married,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
21,Private,204779,10th,6,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
37,Private,185745,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
49,Federal-gov,100919,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1902,24,United-States,<=50K
45,Private,143611,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Male,0,0,8,Philippines,<=50K
46,Without-pay,366290,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,30,United-States,<=50K
47,Local-gov,106922,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,<=50K
55,Private,219901,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
