@relation 5_miss-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute workclass {'?',Federal-gov,Local-gov,Never-worked,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay}
@attribute education {10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college}
@attribute marital-status {Divorced,Married-AF-spouse,Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed}
@attribute occupation {'?',Adm-clerical,Armed-Forces,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty,Protective-serv,Sales,Tech-support,Transport-moving}
@attribute relationship {Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife}
@attribute race {Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {'?',Cambodia,Canada,China,Columbia,Cuba,Dominican-Republic,Ecuador,El-Salvador,England,France,Germany,Greece,Guatemala,Haiti,Holand-Netherlands,Honduras,Hong,Hungary,India,Iran,Ireland,Italy,Jamaica,Japan,Laos,Mexico,Nicaragua,Outlying-US(Guam-USVI-etc),Peru,Philippines,Poland,Portugal,Puerto-Rico,Scotland,South,Taiwan,Thailand,Trinadad&Tobago,United-States,Vietnam,Yugoslavia}
@attribute class {<=50K,>50K}

@data
0.191781,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.260274,Private,HS-grad,Divorced,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.178082,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Black,Female,0,0,0.397959,United-States,<=50K
0.780822,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.01797,0,0.397959,United-States,<=50K
0.561644,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,0.5,Iran,<=50K
0.410959,State-gov,Some-college,Separated,Adm-clerical,Husband,White,Male,0,0,0.397959,Puerto-Rico,<=50K
0.369863,Private,Some-college,Widowed,Sales,Husband,White,Female,0,0,0.397959,United-States,<=50K
0.136986,Private,Bachelors,Never-married,Prof-specialty,Husband,White,Female,0,0,0.44898,United-States,<=50K
0.068493,Private,Bachelors,Never-married,Sales,Own-child,White,Female,0.01055,0,0.193878,United-States,<=50K
0.410959,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.554408,0.602041,United-States,>50K
0.808219,Private,10th,Widowed,Craft-repair,Husband,White,Male,0.03273,0,0.010204,United-States,<=50K
0.342466,Private,Masters,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,0.397959,United-states,<=50K
0.273973,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.616438,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.383562,Local-gov,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,0,0,0.387755,United-States,<=50K
0.424658,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,0.397959,United-States,>50K
0.082192,Private,1st-4th,Married-spouse-absent,Farming-fishing,Husband,White,Male,0,0,0.857143,El-Salvador,<=50K
0.643836,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Female,0,0,0.295918,United-States,<=50K
0,Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,0.112245,United-States,<=50K
1,Private,5th-6th,Widowed,Craft-repair,Husband,White,Male,0,0,0.193878,United-States,<=50K
0.328767,Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,0.214286,United-States,<=50K
0.178082,Private,Bachelors,Never-married,Protective-serv,Own-child,White,Male,0,0.365014,0.244898,United-States,<=50K
0.60274,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.260274,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.356164,Private,HS-grad,Never-married,Other-service,Husband,Black,Male,0,0,0.397959,Haiti,<=50K
0.479452,Self-emp-not-inc,HS-grad,Divorced,Transport-moving,Husband,White,Male,0,0,0.72449,United-States,<=50K
0,Never-worked,10th,Never-married,Craft-repair,Own-child,White,Female,0,0,0.316327,United-States,<=50K
0.315068,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,>50K
0.191781,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0.04101,0,0.397959,United-States,<=50K
0.178082,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.041096,Private,Some-college,Never-married,Craft-repair,Own-child,White,Female,0,0,0.091837,United-States,<=50K
0.205479,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.377551,United-States,<=50K
0.424658,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.142857,United-States,<=50K
0.178082,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.260274,Private,11th,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,0.071429,United-States,<=50K
0.369863,Private,HS-grad,Divorced,Adm-clerical,Husband,White,Female,0,0,0.397959,United-States,<=50K
0.30137,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,0.5,United-States,<=50K
0.191781,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.452055,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,>50K
0.547945,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.205479,State-gov,Some-college,Never-married,Tech-support,Husband,Black,Female,0,0,0.397959,United-States,<=50K
0.09589,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.55102,Mexico,<=50K
0.273973,Private,7th-8th,Never-married,Craft-repair,Own-child,Black,Male,0,0,0.397959,United-States,<=50K
0.150685,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.589041,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0.468779,0.397959,United-States,<=50K
0.260274,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.346939,United-States,<=50K
0.027397,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,0.27551,United-States,<=50K
0.534247,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.575342,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.945205,Private,1st-4th,Widowed,Craft-repair,Husband,Black,Female,0,0,0.397959,United-States,<=50K
0.219178,Private,HS-grad,Divorced,Other-service,Husband,White,Female,0,0,0.397959,United-States,<=50K
0.150685,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.205479,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.142857,United-States,<=50K
0.273973,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.554408,0.397959,United-States,>50K
0.30137,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.346939,United-States,<=50K
0.054795,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,0.193878,United-States,<=50K
0.013699,Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,0.193878,Scotland,<=50K
0.136986,Private,Bachelors,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,0.397959,United-States,<=50K
0.589041,Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.397959,Iran,<=50K
0.123288,State-gov,Some-college,Never-married,Prof-specialty,Husband,Black,Male,0,0,0.142857,United-States,<=50K
0.09589,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.219178,Private,7th-8th,Widowed,Machine-op-inspct,Own-child,White,Female,0,0,0.397959,United-States,<=50K
0.30137,Private,HS-grad,Divorced,Other-service,Husband,White,Female,0,0,0.397959,United-States,<=50K
0.561644,Private,Assoc-voc,Married-civ-spouse,Sales,Wife,White,Female,0,0,0.244898,United-States,<=50K
0.342466,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,0.397959,United-States,>50K
0.589041,State-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.72449,United-States,<=50K
0.150685,Self-emp-not-inc,HS-grad,Married-AF-spouse,Other-service,Wife,White,Female,0,0,0.193878,United-States,<=50K
0.205479,Private,Bachelors,Never-married,Exec-managerial,Husband,White,Female,0,0,0.561224,United-States,>50K
