@relation 5_misss-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute workclass {'?',Federal-gov,Local-gov,Never-worked,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay}
@attribute education {10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college}
@attribute marital-status {Divorced,Married-AF-spouse,Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed}
@attribute occupation {'?',Adm-clerical,Armed-Forces,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty,Protective-serv,Sales,Tech-support,Transport-moving}
@attribute relationship {Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife}
@attribute race {Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {'?',Cambodia,Canada,China,Columbia,Cuba,Dominican-Republic,Ecuador,El-Salvador,England,France,Germany,Greece,Guatemala,Haiti,Holand-Netherlands,Honduras,Hong,Hungary,India,Iran,Ireland,Italy,Jamaica,Japan,Laos,Mexico,Nicaragua,Outlying-US(Guam-USVI-etc),Peru,Philippines,Poland,Portugal,Puerto-Rico,Scotland,South,Taiwan,Thailand,Trinadad&Tobago,United-States,Vietnam,Yugoslavia}
@attribute class {<=50K,>50K}

@data
0.28169,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0.55102,United-States,<=50K
0.239437,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.323944,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.512354,0.397959,United-States,>50K
0.112676,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.56338,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.183099,Private,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,0,0,0.295918,United-States,<=50K
0.183099,Private,HS-grad,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,0.397959,South,<=50K
0.732394,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.479592,United-States,<=50K
0.422535,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.126761,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,0.602041,United-States,<=50K
0.422535,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.126761,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,0.5,India,<=50K
0.056338,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Own-child,White,Female,0,0,0.397959,Dominican-Republic,<=50K
0.422535,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,>50K
0.028169,State-gov,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0,0,0.397959,United-States,<=50K
0.253521,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,0,0,0.5,United-States,<=50K
0.084507,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.577465,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.15493,Self-emp-not-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.193878,United-States,<=50K
0.056338,Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,0.244898,Mexico,<=50K
0.042254,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,0,0,0.193878,United-States,<=50K
0.295775,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.591549,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.478873,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.072981,0,0.602041,United-States,<=50K
0.084507,Private,Some-college,Never-married,Other-service,Husband,White,Female,0,0,0.397959,United-States,<=50K
0.15493,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.142857,United-States,<=50K
0.056338,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.535211,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.346939,United-States,<=50K
0.408451,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.346939,United-States,<=50K
0.394366,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,0.5,China,>50K
0.267606,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.244898,United-States,<=50K
0.380282,Self-emp-not-inc,HS-grad,Divorced,Sales,Husband,White,Male,0,0,0.642857,United-States,<=50K
0.211268,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,0.397959,France,>50K
0.366197,Private,HS-grad,Separated,Transport-moving,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.43662,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.450704,Federal-gov,HS-grad,Divorced,Adm-clerical,Husband,White,Female,0,0,0.397959,United-States,<=50K
0.732394,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,0.244898,United-States,<=50K
0.239437,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0.55102,United-States,<=50K
0.197183,Self-emp-inc,Masters,Never-married,Sales,Own-child,White,Female,0.278283,0,0.418367,United-States,>50K
0.070423,Private,Assoc-voc,Never-married,Handlers-cleaners,Husband,White,Male,0,0,0.530612,United-States,<=50K
0.014085,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,0.397959,Dominican-Republic,<=50K
0.422535,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.28169,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.072981,0,0.602041,United-States,<=50K
0.549296,State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.014085,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.492958,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.5,United-States,<=50K
0.239437,Private,Some-college,Never-married,Other-service,Husband,White,Male,0,0,0.234694,United-States,<=50K
0.84507,Private,1st-4th,Widowed,Other-service,Husband,White,Female,0,0,0.234694,United-States,<=50K
0.352113,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.5,United-States,<=50K
0.070423,Self-emp-inc,Bachelors,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.774648,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0.346939,United-States,<=50K
0.352113,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.397959,Guatemala,<=50K
0.098592,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,0.27551,United-States,<=50K
