@relation 88888-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute age numeric
@attribute workclass {State-gov,Self-emp-not-inc,Private,Federal-gov,Local-gov,Self-emp-inc,'No work'}
@attribute education {Bachelors,HS-grad,11th,Masters,9th,Some-college,Assoc-acdm,Assoc-voc,7th-8th,Doctorate,Prof-school,5th-6th,10th,1st-4th,Preschool,12th}
@attribute marital-status {Never-married,Married-civ-spouse,Divorced,Married-spouse-absent,Separated,Married-AF-spouse,Widowed}
@attribute occupation {Adm-clerical,Exec-managerial,Handlers-cleaners,Prof-specialty,Other-service,Sales,Craft-repair,Transport-moving,Farming-fishing,Machine-op-inspct,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute relationship {Not-in-family,Husband,Wife,Own-child,Unmarried,Other-relative}
@attribute race {White,Black,Asian-Pac-Islander,Amer-Indian-Eskimo,Other}
@attribute sex {Male,Female}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cuba,Jamaica,India,Mexico,South,Puerto-Rico,Honduras,England,Canada,Germany,Iran,Philippines,Italy,Poland,Columbia,Cambodia,Thailand,Ecuador,Laos,Taiwan,Haiti,Portugal,Dominican-Republic,El-Salvador,France,Guatemala,China,Japan,Yugoslavia,Peru,Outlying-US(Guam-USVI-etc),Scotland,Trinadad&Tobago,Greece,Nicaragua,Vietnam,Hong,Ireland,Hungary,Holand-Netherlands}
@attribute class {<=50K,>50K}

@data
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,HS-grad,Divorced,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Black,Female,0,0,40,United-States,<=50K
74,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,1797,0,40,United-States,<=50K
58,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,50,Iran,<=50K
47,State-gov,Some-college,Separated,Adm-clerical,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
44,Private,Some-college,Widowed,Sales,Husband,White,Female,0,0,40,United-States,<=50K
27,Private,Bachelors,Never-married,Prof-specialty,Husband,White,Female,0,0,45,United-States,<=50K
22,Private,Bachelors,Never-married,Sales,Own-child,White,Female,1055,0,20,United-States,<=50K
47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
76,Private,10th,Widowed,Adm-clerical,Husband,White,Male,3273,0,2,United-States,<=50K
42,Private,Masters,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
62,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
45,Local-gov,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,0,0,39,United-States,<=50K
48,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,United-States,>50K
23,Private,1st-4th,Married-spouse-absent,Farming-fishing,Husband,White,Male,0,0,85,El-Salvador,<=50K
64,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Female,0,0,30,United-States,<=50K
17,Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
90,Private,5th-6th,Widowed,Adm-clerical,Husband,White,Male,0,0,20,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,22,United-States,<=50K
30,Private,Bachelors,Never-married,Protective-serv,Own-child,White,Male,0,1590,25,United-States,<=50K
61,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
36,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
43,Private,HS-grad,Never-married,Other-service,Husband,Black,Male,0,0,40,Haiti,<=50K
52,Self-emp-not-inc,HS-grad,Divorced,Transport-moving,Husband,White,Male,0,0,72,United-States,<=50K
17,'No work',10th,Never-married,Adm-clerical,Own-child,White,Female,0,0,32,United-States,<=50K
40,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
31,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,4101,0,40,United-States,<=50K
30,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
48,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,United-States,<=50K
30,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,11th,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,8,United-States,<=50K
44,Private,HS-grad,Divorced,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,50,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
57,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
32,State-gov,Some-college,Never-married,Tech-support,Husband,Black,Female,0,0,40,United-States,<=50K
24,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,Mexico,<=50K
37,Private,7th-8th,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
60,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2042,40,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,United-States,<=50K
56,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
59,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
86,Private,1st-4th,Widowed,Adm-clerical,Husband,Black,Female,0,0,40,United-States,<=50K
