@relation 7_no_miss

@attribute age numeric
@attribute workclass {State-gov,Self-emp-not-inc,Private,Federal-gov,Local-gov,Self-emp-inc,Without-pay,Never-worked}
@attribute education {Bachelors,HS-grad,11th,Masters,9th,Some-college,Assoc-acdm,Assoc-voc,7th-8th,Doctorate,Prof-school,5th-6th,10th,1st-4th,Preschool,12th}
@attribute marital-status {Never-married,Married-civ-spouse,Divorced,Married-spouse-absent,Separated,Married-AF-spouse,Widowed}
@attribute occupation {Adm-clerical,Exec-managerial,Handlers-cleaners,Prof-specialty,Other-service,Sales,Craft-repair,Transport-moving,Farming-fishing,Machine-op-inspct,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute relationship {Not-in-family,Husband,Wife,Own-child,Unmarried,Other-relative}
@attribute race {White,Black,Asian-Pac-Islander,Amer-Indian-Eskimo,Other}
@attribute sex {Male,Female}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cuba,Jamaica,India,Mexico,South,Puerto-Rico,Honduras,England,Canada,Germany,Iran,Philippines,Italy,Poland,Columbia,Cambodia,Thailand,Ecuador,Laos,Taiwan,Haiti,Portugal,Dominican-Republic,El-Salvador,France,Guatemala,China,Japan,Yugoslavia,Peru,Outlying-US(Guam-USVI-etc),Scotland,Trinadad&Tobago,Greece,Nicaragua,Vietnam,Hong,Ireland,Hungary,Holand-Netherlands}
@attribute class {<=50K,>50K}

@data
37,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
40,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
25,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
57,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
30,Private,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,United-States,<=50K
30,Private,HS-grad,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,40,South,<=50K
69,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
47,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,50,India,<=50K
21,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Own-child,White,Female,0,0,40,Dominican-Republic,<=50K
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
19,State-gov,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
35,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
23,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
58,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
28,Self-emp-not-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,<=50K
21,Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,25,Mexico,<=50K
20,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
38,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
51,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,<=50K
23,Private,Some-college,Never-married,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
28,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,United-States,<=50K
21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
55,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
46,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,>50K
36,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
44,Self-emp-not-inc,HS-grad,Divorced,Sales,Husband,White,Male,0,0,64,United-States,<=50K
32,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,40,France,>50K
43,Private,HS-grad,Separated,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
49,Federal-gov,HS-grad,Divorced,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
69,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,25,United-States,<=50K
34,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
31,Self-emp-inc,Masters,Never-married,Sales,Own-child,White,Female,27828,0,42,United-States,>50K
22,Private,Assoc-voc,Never-married,Handlers-cleaners,Husband,White,Male,0,0,53,United-States,<=50K
18,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,Dominican-Republic,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
37,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,<=50K
56,State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
52,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
34,Private,Some-college,Never-married,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
77,Private,1st-4th,Widowed,Other-service,Husband,White,Female,0,0,24,United-States,<=50K
42,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
22,Self-emp-inc,Bachelors,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
72,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,<=50K
42,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Guatemala,<=50K
24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,United-States,<=50K
48,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
27,Private,Some-college,Never-married,Sales,Husband,White,Female,0,0,40,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,64,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
36,Private,Assoc-acdm,Divorced,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States,<=50K
66,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,1411,40,United-States,<=50K
40,Private,Bachelors,Divorced,Sales,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
72,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,40,United-States,<=50K
43,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
65,Private,5th-6th,Widowed,Other-service,Husband,Black,Female,0,0,16,United-States,<=50K
33,State-gov,Masters,Never-married,Prof-specialty,Husband,White,Male,0,0,11,United-States,<=50K
25,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,<=50K
22,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,50,United-States,<=50K
30,Private,5th-6th,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,<=50K
46,Private,11th,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,United-States,<=50K
39,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
51,Local-gov,10th,Married-spouse-absent,Prof-specialty,Husband,White,Female,0,0,40,United-States,<=50K
56,State-gov,HS-grad,Divorced,Adm-clerical,Husband,White,Female,0,0,35,United-States,<=50K
56,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,>50K
36,Private,HS-grad,Never-married,Sales,Husband,White,Female,0,0,40,United-States,<=50K
64,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<=50K
40,Private,HS-grad,Divorced,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
24,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,45,United-States,<=50K
45,Private,Assoc-voc,Never-married,Other-service,Husband,White,Female,0,0,40,Mexico,<=50K
20,Private,Some-college,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,<=50K
33,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,United-States,<=50K
22,Private,Some-college,Never-married,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
50,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Male,0,0,30,Laos,<=50K
24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,13550,0,28,United-States,>50K
48,Private,Some-college,Never-married,Craft-repair,Husband,Black,Female,0,0,40,United-States,<=50K
61,Private,Masters,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
17,Private,10th,Never-married,Other-service,Own-child,White,Female,0,0,21,United-States,<=50K
34,Private,11th,Separated,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,<=50K
50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
45,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
38,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Germany,<=50K
51,State-gov,Some-college,Divorced,Tech-support,Husband,White,Female,0,0,40,Cuba,<=50K
37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K
27,Private,Some-college,Never-married,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
35,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
51,Private,HS-grad,Divorced,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
33,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
40,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
30,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
22,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
58,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
36,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,7688,0,48,United-States,>50K
47,Private,Bachelors,Divorced,Exec-managerial,Husband,White,Female,0,0,48,United-States,<=50K
34,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,Assoc-acdm,Never-married,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
21,Private,10th,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
49,Federal-gov,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1902,24,United-States,<=50K
45,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Male,0,0,8,Philippines,<=50K
46,Without-pay,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,30,United-States,<=50K
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,<=50K
55,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
34,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,50,United-States,<=50K
52,Private,Some-college,Divorced,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
28,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
49,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,<=50K
42,Private,Some-college,Separated,Prof-specialty,Not-in-family,White,Male,0,2231,50,Canada,>50K
24,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,594,0,40,United-States,<=50K
26,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
37,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
48,Private,10th,Widowed,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
47,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
42,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,38,Mexico,<=50K
66,Private,HS-grad,Widowed,Tech-support,Husband,White,Female,0,0,18,United-States,<=50K
31,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
45,Private,Assoc-voc,Divorced,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
17,Private,10th,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,11th,Separated,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
26,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
27,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
29,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,40,Hong,<=50K
48,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
62,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,Some-college,Never-married,Other-service,Husband,Black,Female,0,0,8,United-States,<=50K
25,Private,Bachelors,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,50,United-States,<=50K
19,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,Mexico,<=50K
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
52,Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,>50K
58,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
46,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
67,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,Some-college,Never-married,Exec-managerial,Husband,White,Female,0,0,40,United-States,<=50K
38,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States,<=50K
52,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,0,0,25,United-States,<=50K
44,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,40,United-States,>50K
42,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,1902,45,United-States,<=50K
68,Local-gov,7th-8th,Widowed,Other-service,Husband,White,Female,0,0,20,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,30,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,32,United-States,<=50K
44,Private,Bachelors,Married-civ-spouse,Other-service,Wife,White,Male,0,0,40,Iran,<=50K
17,Private,12th,Never-married,Other-service,Own-child,White,Female,0,0,8,United-States,<=50K
26,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,United-States,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States,<=50K
49,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,Mexico,<=50K
17,Private,9th,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,<=50K
29,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
56,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
45,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Wife,White,Male,0,0,50,United-States,>50K
47,Private,Some-college,Separated,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
23,Private,HS-grad,Never-married,Handlers-cleaners,Husband,White,Male,0,0,35,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
33,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
17,Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
31,Private,HS-grad,Never-married,Farming-fishing,Husband,White,Male,0,0,20,United-States,<=50K
45,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,40,United-States,<=50K
34,State-gov,HS-grad,Divorced,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K
51,Self-emp-not-inc,HS-grad,Divorced,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Female,0,1887,45,United-States,<=50K
50,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,<=50K
35,Private,12th,Never-married,Machine-op-inspct,Husband,Black,Female,0,0,40,United-States,<=50K
30,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,2885,0,75,Mexico,<=50K
27,Private,Bachelors,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,<=50K
43,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
44,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,United-States,<=50K
49,Local-gov,Some-college,Divorced,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
57,Local-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,<=50K
61,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,White,Male,0,0,20,United-States,<=50K
38,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<=50K
24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,United-States,<=50K
35,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,40,United-States,>50K
56,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
48,Private,HS-grad,Widowed,Prof-specialty,Husband,Other,Female,0,0,60,Puerto-Rico,<=50K
30,Private,HS-grad,Divorced,Sales,Husband,White,Female,0,0,35,United-States,<=50K
65,Local-gov,Some-college,Widowed,Exec-managerial,Husband,White,Male,6360,0,40,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
33,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,0,0,57,United-States,<=50K
53,Private,HS-grad,Divorced,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
29,Federal-gov,HS-grad,Divorced,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
70,Local-gov,10th,Married-civ-spouse,Other-service,Husband,White,Male,2228,0,40,United-States,<=50K
40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,48,United-States,<=50K
51,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,Guatemala,<=50K
57,Local-gov,10th,Widowed,Other-service,Husband,White,Female,0,0,24,United-States,<=50K
50,Private,Assoc-voc,Divorced,Tech-support,Husband,White,Female,0,0,64,United-States,<=50K
24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,48,United-States,>50K
51,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,United-States,<=50K
32,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Federal-gov,Bachelors,Never-married,Prof-specialty,Husband,White,Female,0,0,60,United-States,<=50K
27,Private,HS-grad,Married-spouse-absent,Adm-clerical,Husband,White,Female,0,0,40,Jamaica,<=50K
58,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,0,0,40,United-States,<=50K
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
40,Private,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
42,Private,Some-college,Never-married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,20,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
60,Private,Some-college,Widowed,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,0,0,20,United-States,<=50K
59,Local-gov,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,40,United-States,<=50K
24,Private,HS-grad,Never-married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,9th,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
29,Federal-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Other,Male,0,0,45,United-States,<=50K
55,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
