@relation 'data-weka.filters.unsupervised.attribute.Remove-R3,9,14'

@attribute age numeric
@attribute workclass {'?',Federal-gov,Local-gov,Never-worked,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay}
@attribute education {10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college}
@attribute education-num numeric
@attribute marital-status {Divorced,Married-AF-spouse,Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed}
@attribute occupation {'?',Adm-clerical,Armed-Forces,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty,Protective-serv,Sales,Tech-support,Transport-moving}
@attribute relationship {Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {<=50K,>50K}

@data
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,<=50K
36,Private,HS-grad,9,Divorced,Craft-repair,Husband,Male,0,0,40,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Female,0,0,40,<=50K
74,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,1797,0,40,<=50K
58,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Male,0,0,50,<=50K
47,State-gov,Some-college,10,Separated,Adm-clerical,Husband,Male,0,0,40,<=50K
44,Private,Some-college,10,Widowed,Sales,Husband,Female,0,0,40,<=50K
27,Private,Bachelors,13,Never-married,Prof-specialty,Husband,Female,0,0,45,<=50K
22,Private,Bachelors,13,Never-married,Sales,Own-child,Female,1055,0,20,<=50K
47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,2415,60,>50K
76,?,10th,6,Widowed,?,Husband,Male,3273,0,2,<=50K
42,Private,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,40,<=50K
37,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
62,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,<=50K
45,Local-gov,Bachelors,13,Divorced,Prof-specialty,Own-child,Female,0,0,39,<=50K
48,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Male,0,0,40,>50K
23,Private,1st-4th,2,Married-spouse-absent,Farming-fishing,Husband,Male,0,0,85,<=50K
64,?,HS-grad,9,Married-civ-spouse,?,Husband,Female,0,0,30,<=50K
17,Private,11th,7,Never-married,Other-service,Own-child,Male,0,0,12,<=50K
90,?,5th-6th,3,Widowed,?,Husband,Male,0,0,20,<=50K
41,?,HS-grad,9,Married-civ-spouse,?,Wife,Female,0,0,22,<=50K
30,Private,Bachelors,13,Never-married,Protective-serv,Own-child,Male,0,1590,25,<=50K
61,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
36,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,<=50K
43,Private,HS-grad,9,Never-married,Other-service,Husband,Male,0,0,40,<=50K
52,Self-emp-not-inc,HS-grad,9,Divorced,Transport-moving,Husband,Male,0,0,72,<=50K
17,Never-worked,10th,6,Never-married,?,Own-child,Female,0,0,32,<=50K
40,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,>50K
31,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,4101,0,40,<=50K
30,Private,Some-college,10,Never-married,Sales,Not-in-family,Male,0,0,40,<=50K
20,?,Some-college,10,Never-married,?,Own-child,Female,0,0,10,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,38,<=50K
48,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,15,<=50K
30,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
36,?,11th,7,Married-civ-spouse,?,Wife,Female,0,0,8,<=50K
44,Private,HS-grad,9,Divorced,Adm-clerical,Husband,Female,0,0,40,<=50K
39,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Female,0,0,50,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,>50K
57,?,Some-college,10,Married-civ-spouse,?,Husband,Male,0,0,40,<=50K
32,State-gov,Some-college,10,Never-married,Tech-support,Husband,Female,0,0,40,<=50K
24,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,Male,0,0,55,<=50K
37,?,7th-8th,4,Never-married,?,Own-child,Male,0,0,40,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,<=50K
60,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,2042,40,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,28,<=50K
56,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
59,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,<=50K
86,?,1st-4th,2,Widowed,?,Husband,Female,0,0,40,<=50K
33,Private,HS-grad,9,Divorced,Other-service,Husband,Female,0,0,40,<=50K
28,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,<=50K
32,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,15,<=50K
37,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,2415,40,>50K
39,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,20,<=50K
18,Private,11th,7,Never-married,Other-service,Own-child,Male,0,0,20,<=50K
27,Private,Bachelors,13,Never-married,Transport-moving,Own-child,Male,0,0,40,<=50K
60,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,<=50K
26,State-gov,Some-college,10,Never-married,Prof-specialty,Husband,Male,0,0,15,<=50K
24,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
33,Private,7th-8th,4,Widowed,Machine-op-inspct,Own-child,Female,0,0,40,<=50K
39,Private,HS-grad,9,Divorced,Other-service,Husband,Female,0,0,40,<=50K
58,Private,Assoc-voc,11,Married-civ-spouse,Sales,Wife,Female,0,0,25,<=50K
42,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Male,0,0,40,>50K
60,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,72,<=50K
28,Self-emp-not-inc,HS-grad,9,Married-AF-spouse,Other-service,Wife,Female,0,0,20,<=50K
32,Private,Bachelors,13,Never-married,Exec-managerial,Husband,Female,0,0,56,>50K
23,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,55,<=50K
64,?,1st-4th,2,Widowed,?,Husband,Female,0,0,20,<=50K
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,1977,40,>50K
51,Private,Some-college,10,Widowed,Prof-specialty,Husband,Female,3325,0,40,<=50K
17,Private,11th,7,Never-married,Adm-clerical,Own-child,Male,0,0,15,<=50K
24,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,<=50K
34,Private,Some-college,10,Divorced,Adm-clerical,Husband,Male,0,0,40,<=50K
58,?,7th-8th,4,Separated,?,Husband,Female,0,0,40,<=50K
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,<=50K
30,Private,Doctorate,16,Married-civ-spouse,Tech-support,Wife,Female,0,0,16,>50K
64,Private,Some-college,10,Divorced,Tech-support,Husband,Female,0,1741,36,<=50K
45,Private,Some-college,10,Divorced,Machine-op-inspct,Own-child,Male,0,0,32,<=50K
20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,<=50K
18,Self-emp-not-inc,11th,7,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,<=50K
28,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Female,7688,0,40,<=50K
38,Local-gov,HS-grad,9,Never-married,Exec-managerial,Husband,Male,0,0,6,<=50K
41,Private,10th,6,Married-civ-spouse,Other-service,Wife,Female,0,0,24,<=50K
62,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,Male,3942,0,40,<=50K
27,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Husband,Male,0,2339,52,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
22,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
55,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,40,<=50K
40,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,<=50K
26,Private,Bachelors,13,Never-married,Tech-support,Husband,Male,0,2444,40,>50K
47,Federal-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Male,0,0,60,>50K
25,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,<=50K
22,Private,HS-grad,9,Never-married,Handlers-cleaners,Husband,Male,0,0,35,<=50K
31,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,60,<=50K
50,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,<=50K
42,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,60,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Female,0,0,48,<=50K
53,Private,HS-grad,9,Widowed,Exec-managerial,Husband,Female,0,0,40,<=50K
22,Local-gov,Some-college,10,Never-married,Prof-specialty,Husband,Female,0,0,40,<=50K
40,Private,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Female,0,0,32,<=50K
47,Private,Preschool,1,Never-married,Craft-repair,Not-in-family,Male,0,0,45,<=50K
36,Private,HS-grad,9,Never-married,Adm-clerical,Husband,Female,0,0,40,<=50K
29,Private,Some-college,10,Never-married,Exec-managerial,Husband,Male,0,0,50,<=50K
17,Self-emp-not-inc,12th,8,Never-married,Sales,Own-child,Male,0,0,40,<=50K
