@relation 'data-weka.filters.unsupervised.attribute.Remove-R3,9,14'

@attribute age numeric
@attribute workclass {'?',Federal-gov,Local-gov,Never-worked,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay}
@attribute education {10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college}
@attribute education-num numeric
@attribute marital-status {Divorced,Married-AF-spouse,Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed}
@attribute occupation {'?',Adm-clerical,Armed-Forces,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty,Protective-serv,Sales,Tech-support,Transport-moving}
@attribute relationship {Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {<=50K,>50K}

@data
37,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,55,<=50K
34,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,<=50K
40,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,1887,40,>50K
25,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,<=50K
57,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,Female,0,0,30,<=50K
30,Private,HS-grad,9,Divorced,Other-service,Other-relative,Female,0,0,40,<=50K
69,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,48,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,<=50K
26,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,Male,0,0,60,<=50K
47,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,<=50K
26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,50,<=50K
21,Private,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Own-child,Female,0,0,40,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,>50K
19,State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,40,<=50K
35,Private,Assoc-voc,11,Divorced,Sales,Not-in-family,Male,0,0,50,<=50K
23,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,<=50K
58,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
28,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,20,<=50K
21,Private,7th-8th,4,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,25,<=50K
20,Private,11th,7,Never-married,Adm-clerical,Own-child,Female,0,0,20,<=50K
38,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,<=50K
59,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
51,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,7298,0,60,<=50K
23,Private,Some-college,10,Never-married,Other-service,Husband,Female,0,0,40,<=50K
28,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,15,<=50K
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,<=50K
55,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
46,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,35,<=50K
45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,>50K
36,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,25,<=50K
44,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Husband,Male,0,0,64,<=50K
32,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Female,0,0,40,>50K
43,Private,HS-grad,9,Separated,Transport-moving,Husband,Male,0,0,40,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
49,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Husband,Female,0,0,40,<=50K
69,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,25,<=50K
34,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,55,<=50K
31,Self-emp-inc,Masters,14,Never-married,Sales,Own-child,Female,27828,0,42,>50K
22,Private,Assoc-voc,11,Never-married,Handlers-cleaners,Husband,Male,0,0,53,<=50K
18,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Female,0,0,40,<=50K
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
37,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,7298,0,60,<=50K
56,State-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
18,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,Male,0,0,40,<=50K
52,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,<=50K
34,Private,Some-college,10,Never-married,Other-service,Husband,Male,0,0,24,<=50K
77,Private,1st-4th,2,Widowed,Other-service,Husband,Female,0,0,24,<=50K
42,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,<=50K
22,Self-emp-inc,Bachelors,13,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,<=50K
72,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,35,<=50K
42,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,<=50K
24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,28,<=50K
48,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,<=50K
27,Private,Some-college,10,Never-married,Sales,Husband,Female,0,0,40,<=50K
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,64,<=50K
26,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,<=50K
36,Private,Assoc-acdm,12,Divorced,Exec-managerial,Husband,Male,0,0,40,<=50K
24,Private,Some-college,10,Never-married,Exec-managerial,Own-child,Female,0,0,30,<=50K
